builder_id,name,country
bohai-shipbuilding-heavy-industry,Bohai Shipbuilding Heavy Industry,China
daewoo-shipbuilding-marine-engineering,Daewoo Shipbuilding & Marine Engineering,South Korea
hd-hyundai-heavy-industries-gunsan,HD Hyundai Heavy Industries Gunsan,South Korea
hd-hyundai-mipo-dockyard,HD Hyundai Mipo Dockyard,South Korea
hyundai-heavy-industries,Hyundai Heavy Industries,South Korea
hyundai-mipo-dockyard,Hyundai Mipo Dockyard,South Korea
mitsubishi-heavy-industries-nagasaki,Mitsubishi Heavy Industries Nagasaki,Japan
